Designator,Mid X,Mid Y,Rotation,Layer
BT1,125.6,-90.9,181.0,bottom
D1,104.92,-85.7,0.0,top
D2,91.42,-100.5,0.0,top
D3,108.92,-119.5,0.0,top
D4,143.82,-85.1,0.0,top
D5,144.02,-113.1,0.0,top
D6,147.32,-132.7,0.0,top
R1,103.59999977104441,-79.69999994279239,40.0,top
R2,95.94840729666332,-97.40000038498809,305.0,top
R3,105.50000005720761,-110.7000007710444,310.0,top
R4,145.50000044842764,-94.90000044842766,315.0,top
R5,148.69999979855538,-105.49999828964722,32.0,top
R6,147.20000141725038,-127.59999963397459,330.0,top
SW1,111.03798061746947,-48.834120444167326,350.0,bottom
