Designator,Mid X,Mid Y,Rotation,Layer
BT1,61.762979,-48.250947,180.0,bottom
C1,44.543955,-49.557598,90.0,bottom
C2,42.786859,-64.556747,180.0,bottom
D1,97.0,-56.146066,90.0,top
D2,103.847953,-48.296218,270.0,top
D3,112.885834,-52.103543,0.0,top
D4,104.006536,-35.530304,90.0,top
D5,126.923086,-43.540072,0.0,top
D6,112.88851,-42.192119,0.0,top
D7,117.328828,-33.866522,0.0,top
D8,123.513556,-56.940317,0.0,top
R1,89.6,-44.92,270.0,bottom
R10,60.064229,-68.720918,270.0,bottom
R11,53.942781,-80.090185,180.0,bottom
R2,92.6,-45.98,90.0,bottom
R3,108.335846,-48.32,90.0,bottom
R4,107.299707,-30.29841,0.0,bottom
R5,132.06139,-46.197946,90.0,bottom
R6,118.185396,-43.909198,90.0,bottom
R7,121.674217,-43.977787,90.0,bottom
R8,122.858237,-51.832986,180.0,bottom
R9,67.253315,-77.777757,0.0,bottom
SW1,99.350132,-67.938423,270.0,bottom
U1,68.803902,-68.482569,0.0,bottom
U2,82.246506,-63.649804,0.0,bottom
