Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery_MPD_BHX2-2032-PC_2x2032,1,Battery_Cell,
"C1, C2",CP_Radial_D5.0mm_P2.00mm,2,1µ,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,9,LED,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100K,
"R10, R11, R12, R13, R14, R15, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,12,1K,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,"2,2K",
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
SW1,SW_PUSH_6mm,1,Push Switch,
SW2,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,1,DIP x03,
SW3,Slide Switch True Components,1,Slide Switch,
U1,DIP-8_W7.62mm,1,NE555P,
U2,CERDIP-16_W7.62mm_SideBrazed_Socket,1,CD4017,
U3,CERDIP-16_W7.62mm_SideBrazed_Socket,1,CD4051B,
