Designator,Mid X,Mid Y,Rotation,Layer
BT1,137.0,-144.9,0.0,bottom
C1,132.355113,-111.5,0.0,bottom
C2,169.69999984364208,-157.6091529140934,130.0,bottom
D1,124.397936,-59.6,0.0,top
D2,126.3,-54.8,0.0,top
D3,131.7,-52.297938,0.0,top
D4,137.2,-54.8,0.0,top
D5,139.002064,-59.6,0.0,top
D6,137.1,-64.6,0.0,top
D7,131.96927,-66.683868,0.0,top
D8,126.0,-64.2,0.0,top
D9,90.9,-48.8,0.0,top
R1,161.70000099500004,-157.30000158558,40.0,bottom
R10,129.62,-89.6,0.0,top
R11,115.29309623162264,-87.58519949030176,345.0,top
R12,100.63870761501191,-54.986231703336685,35.0,bottom
R13,132.32,-118.0,0.0,bottom
R14,132.32,-121.7,0.0,bottom
R15,132.32,-125.5,0.0,bottom
R2,143.69309693872944,-87.41480028495337,15.0,top
R3,155.782133257452,-145.002824614698,80.0,bottom
R4,104.6,-76.3,90.0,bottom
R5,107.05309876964276,-63.504043441853824,115.0,bottom
R6,114.8084941282568,-53.16536117674794,140.0,bottom
R7,146.20059105122493,-56.46,210.0,bottom
R8,151.98213274254803,-67.30282338530202,260.0,bottom
R9,152.51786824225974,-80.5028235589502,280.0,bottom
SW1,131.55,-59.65,0.0,top
SW2,114.61,-142.44,0.0,top
SW3,112.9,-156.5,0.0,bottom
U1,132.51,-99.21,0.0,top
U2,144.69,-104.39,0.0,top
U3,120.61,-104.29,0.0,top
