Designator,Mid X,Mid Y,Rotation,Layer
BT1,170.268277,-97.647328,262.0,bottom
C1,151.0,-98.6,0.0,bottom
D1,149.63,-121.2,0.0,top
D2,156.5,-121.3,0.0,top
D3,169.0,-112.5,0.0,top
D4,141.65,-99.5,0.0,top
D5,159.9,-81.3,0.0,top
D6,168.9,-79.5,0.0,top
MK1,148.6,-105.4,0.0,top
Q1,155.765,-112.7,270.0,bottom
Q2,163.425,-112.77,270.0,bottom
R1,146.1,-125.0,0.0,bottom
R2,165.82,-123.8,180.0,bottom
R3,165.8,-120.3,0.0,bottom
R4,141.7,-109.0,270.0,bottom
R5,157.0,-85.2,0.0,bottom
R6,171.5,-83.6,0.0,bottom
R7,145.8,-90.2,270.0,bottom
R8,155.8,-101.2,90.0,bottom
R9,152.7,-90.6,0.0,bottom
SW1,180.64793374266824,-121.97567003268082,262.0,bottom
