Designator,Mid X,Mid Y,Rotation,Layer
BT1,158.7,-119.55,270.0,bottom
C1,132.244888,-129.4,180.0,bottom
D1,131.9,-98.07,270.0,top
D2,143.3,-98.03,270.0,top
D3,154.9,-98.4,270.0,top
D4,125.60032252267058,-101.58789710668212,35.0,top
D5,160.799999903753,-102.19999992583418,145.0,top
MK1,124.4,-128.7,180.0,bottom
Q1,132.2,-124.235,180.0,bottom
Q2,128.13,-119.235,180.0,bottom
R1,120.2,-116.9,90.0,bottom
R2,136.6,-102.8,0.0,bottom
R3,145.4000002289556,-105.80000005720761,320.0,bottom
R4,120.4,-104.3,270.0,bottom
R5,150.8000002289556,-106.70000005720762,320.0,bottom
R6,141.8,-126.1,0.0,bottom
R7,139.69999974132088,-111.59999974132087,225.0,bottom
R8,126.1,-111.8,0.0,bottom
SW1,141.5,-129.9,0.0,bottom
