Designator,Mid X,Mid Y,Rotation,Layer
BT1,131.25,-98.9,0.0,bottom
C1,185.6,-97.4,0.0,bottom
D1,154.495,-103.101392,0.0,top
D2,161.83,-100.9,0.0,top
D3,169.13,-96.7,0.0,top
D4,176.995,-101.0,0.0,top
MK1,179.33,-90.5,0.0,bottom
Q1,147.5,-104.925,0.0,bottom
Q2,183.7,-104.925,0.0,bottom
R1,155.3,-109.2,0.0,bottom
R2,167.6,-92.8,0.0,bottom
R3,170.0,-105.4,0.0,bottom
R4,173.9,-109.3,0.0,bottom
R5,147.1,-96.68,270.0,bottom
R6,150.3,-96.7,90.0,bottom
R7,156.8,-94.5,90.0,bottom
SW1,169.4,-89.4,0.0,bottom
