Designator,Mid X,Mid Y,Rotation,Layer
BT1,146.948769,-128.042054,307.0,bottom
C1,125.0,-125.4,0.0,bottom
D1,143.17,-110.0,0.0,top
D2,117.23,-115.3,0.0,top
D3,142.795,-142.5,0.0,top
D4,158.695,-114.2,0.0,top
D5,128.13,-121.2,0.0,top
MK1,140.6065906283981,-116.9343654179764,20.0,top
Q1,133.93,-120.265,0.0,bottom
Q2,132.23529442508794,-105.15702504292135,320.0,bottom
R1,149.58519871504663,-104.89592206127058,105.0,bottom
R2,123.46253767190561,-109.57363851359243,290.0,bottom
R3,131.5,-132.40000194877504,60.0,bottom
R4,153.36253698607428,-110.0736384261002,110.0,bottom
R5,129.9,-116.2,0.0,bottom
R6,130.7000004864076,-110.9000003280944,340.0,bottom
R7,138.399999,-107.679999,90.0,bottom
R8,145.0999998063494,-101.90000008972105,20.0,bottom
SW1,119.4500008660254,-106.96506400946109,300.0,bottom
