Designator,Mid X,Mid Y,Rotation,Layer
BT1,188.5,-140.85,270.0,bottom
C1,144.2,-149.2,90.0,bottom
D1,86.73,-59.1,0.0,top
D2,103.095,-72.4,0.0,top
D3,116.73,-59.2,0.0,top
D4,88.8,-102.7,0.0,top
D5,117.6,-107.8,180.0,top
D6,161.9,-78.3,0.0,top
MK1,186.8,-70.4,0.0,top
Q1,133.0,-135.325,0.0,bottom
Q2,133.03,-142.765,0.0,bottom
R1,103.0,-101.2,270.0,top
R2,91.7,-89.88,270.0,top
R3,98.3,-66.1,270.0,top
R4,106.00000044842766,-126.80000044842767,315.0,top
R5,106.0,-116.3,90.0,top
R6,143.9,-122.5,270.0,top
R7,156.9,-118.3,180.0,top
R8,118.9,-133.9,270.0,top
R9,192.9,-110.0,0.0,bottom
SW1,76.6,-142.7,90.0,bottom
