Designator,Mid X,Mid Y,Rotation,Layer
BT1,153.1,-107.85,90.0,bottom
C1,151.8,-123.8,270.0,bottom
D1,150.495,-90.8,0.0,top
D2,167.53,-105.6,0.0,top
D3,136.93,-120.0,0.0,top
D4,134.3,-89.0,0.0,top
D5,155.5,-78.9,0.0,top
D6,144.3,-129.5,0.0,top
MK1,168.1,-122.1,180.0,top
Q1,133.1,-94.075,180.0,bottom
Q2,170.43,-95.565,0.0,bottom
R1,151.9,-83.2,0.0,bottom
R2,171.7,-105.4,90.0,bottom
R3,131.2,-122.1,270.0,bottom
R4,138.8,-88.6,270.0,bottom
R5,146.32,-77.0,0.0,bottom
R6,138.2,-133.2,0.0,bottom
R7,141.6,-125.1,180.0,bottom
R8,163.7,-92.4,90.0,bottom
R9,158.0,-90.7,0.0,bottom
SW1,125.6,-122.9,270.0,bottom
