Designator,Mid X,Mid Y,Rotation,Layer
BT1,144.1,-122.0,75.0,bottom
D1,178.70014726280624,-90.364999,330.0,top
D2,169.20000079938714,-87.1000001872802,345.0,top
D3,158.8,-85.8,0.0,top
D4,148.00000079938712,-87.1999998127198,15.0,top
D5,138.80014726280623,-92.435,30.0,top
R1,134.682133257452,-106.20282361469798,100.0,top
R2,140.00000073550186,-103.60000054966208,97.0,top
R3,183.19999875774025,-104.9000004410498,80.0,top
R4,178.080903271952,-104.04213442779275,83.0,top
R5,145.66586634228585,-103.17303796344676,93.0,top
R6,151.3,-103.0,90.0,top
R7,173.20000065771416,-103.69999996344677,87.0,top
R8,167.8,-103.7,90.0,top
SW1,160.09,-128.51,270.0,top
SW2,159.89,-141.79,270.0,top
SW3,142.84345556065952,-139.53423004497338,295.0,top
U1,159.39,-107.95,0.0,top
